bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
relation/10047997-220,220,f,Substation,f,relation/10047997,23.88107194,49.24892577,UA,POINT (23.88107194 49.24892577)
relation/10086891-300,300,f,Substation,f,relation/10086891,5.975945,60.9262513,NO,POINT (5.975945 60.9262513)
relation/10104222-420,420,f,Substation,f,relation/10104222,6.9455249,62.84244187,NO,POINT (6.9455249 62.84244187)
relation/10153505-400,400,f,Substation,f,relation/10153505,12.96101332,59.38834116,SE,POINT (12.96101332 59.38834116)
relation/10175479-300,300,f,Substation,f,relation/10175479,6.45378159,58.2950428,NO,POINT (6.45378159 58.2950428)
relation/10220813-420,420,f,Substation,f,relation/10220813,7.14464134,60.4992759,NO,POINT (7.14464134 60.4992759)
relation/10295969-400,400,f,Substation,f,relation/10295969,1.93506053,41.76692034,ES,POINT (1.93506053 41.76692034)
relation/10308957-300,300,f,Substation,f,relation/10308957,10.72079096,59.95806758,NO,POINT (10.72079096 59.95806758)
relation/10327289-300,300,f,Substation,f,relation/10327289,6.55574855,60.12249521,NO,POINT (6.55574855 60.12249521)
relation/10377509-400,400,f,Substation,f,relation/10377509,-3.05088547,55.03288574,GB,POINT (-3.05088547 55.03288574)
relation/10506161-330,330,f,Substation,f,relation/10506161,28.72209837,49.16486039,UA,POINT (28.72209837 49.16486039)
relation/10506161-750,750,f,Substation,f,relation/10506161,28.72245361,49.16499591,UA,POINT (28.72245361 49.16499591)
relation/10547156-300,300,f,Substation,f,relation/10547156,7.9390625,59.46320825,NO,POINT (7.9390625 59.46320825)
relation/10582654-330,330,f,Substation,f,relation/10582654,28.49121366,49.1594984,UA,POINT (28.49121366 49.1594984)
relation/10629005,300,t,Substation,f,relation/10629005,15.8541784059845,56.76732184567536,SE,POINT (15.8541784059845 56.767321845675355)
relation/10629005-400,400,f,Substation,f,relation/10629005,15.85417841,56.76732185,SE,POINT (15.85417841 56.76732185)
relation/10695345,400,t,Substation,f,relation/10695345,1.346531300451362,51.31010054490357,GB,POINT (1.346531300451362 51.31010054490357)
relation/10695345-400,400,f,Substation,f,relation/10695345,1.3465313,51.31010054,GB,POINT (1.3465313 51.31010054)
